Name,Region,Zone,Address,Phone,Monthly_schedule,Start_time,End_time,Appointment,Requirements,Distribution_mode,Packaging,Notes,Day,Processed_For_Geocoding,Latitude,Longitude
She Believes in Me : She Believes in Me,VA, Fairfax County, She Believes in Me 761 Elden Street Herndon VA 20170,(703) 328-2512,Every week,10:00 AM,11:00 AM,No,Zip Code,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Monday || Saturday || Wednesday,761 Elden Street Herndon VA 20170,38.9695251,-77.3866952
Gaithersburg HELP : Gaithersburg HELP,MD, Montgomery County, Gaithersburg HELP 301 Muddy Branch Road Gaithersburg MD 20878,(301) 216-2510,Every week,05:00 PM,06:30 PM,Yes,"ID,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",We require identification and proof of residence. We serve any resident in our service area. A service area map is available on our website at www.gaithersburghelp.org.,Friday || Monday || Thursday || Tuesday || Wednesday,301 Muddy Branch Road Gaithersburg MD 20878,39.1291835,-77.2078471
Annandale UMC : Annandale UMC,VA, Fairfax County, Annandale UMC 7901 Heritage Drive Annandale VA 22003,(703) 217-2514,Every week,04:00 PM,06:30 PM,No,"ID,Zip Code",Walk up,Pre-bagged or boxed groceries,Photo ID and proof of residency in 22003 ZIPcode. One food pickup per week per household.,Thursday,7901 Heritage Drive Annandale VA 22003,38.8252541,-77.2132924
NW Community Food : NW Community Food,DC, Ward 3, NW Community Food 4225 Connecticut AVE NW Washington DC DC 20008,(202) 594-0399,Every week,01:00 PM,03:00 PM,No,,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,Sunday,4225 Connecticut AVE NW Washington DC DC 20008,38.9439024,-77.0629707
First Alliance Church : First Alliance Church,MD, Montgomery County, First Alliance Church 14500 New Hampshire Ave Silver Spring MD 20904,(301) 785-8571,4th of the Month,06:00 PM,08:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",This is our indoor walk-in food pantry.  Please bring your own bags.,Saturday || Tuesday,14500 New Hampshire Ave Silver Spring MD 20904,39.0761335,-77.0019544
St Matthews Ken Jackson Food Closet : St. Matthews Ken Jackson Food Closet,VA, Fairfax County, St. Matthews UMC 8617 Little River Turnpike Annandale VA 22003,(703) 978-3500,Every week,05:00 PM,06:30 PM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries","Distribution at door 3, Far left from front of church",Friday || Monday,8617 Little River Turnpike Annandale VA 22003,38.8334545,-77.2141733
Grace Baptist Church : Grace Baptist Church,MD, Prince George's County, Grace Baptist Church 3121 Trinity Drive Bowie MD 20715,(301) 262-1767,Every week,09:00 AM,11:30 AM,Yes,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",Participants must register for an appointment. We currently have a waitlist for new clients.,Saturday,3121 Trinity Drive Bowie MD 20715,38.9750465,-76.7470449
Ports Town Church : Ports Town Church,MD, Prince George's County, Port Towns Church 4500 57th Ave Bladensburg MD 20717,(301) 525-6328,1st of the Month,06:00 PM,09:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Monday || Sunday,4500 57th Ave Bladensburg MD 20717,38.9455463,-76.9174458
St. Peters in the Woods : St. Peters in the Woods,VA, Fairfax County, St. Peters in the Woods 5911 Fairview Woods Drive Fairfax Station VA 22039,(703) 503-9210,1st of the Month,11:00 AM,11:30 AM,No,,Walk up,Pre-bagged or boxed groceries,,Saturday,5911 Fairview Woods Drive Fairfax Station VA 22039,38.7970591,-77.3272891
Community Support Systems Inc : Community Support Systems Inc BADEN,MD, Prince George's County, Community Support Systems Inc BADEN 13500 Baden Westwood Road Brandywine MD 20613,(301) 372-1491,Every week,09:30 AM,11:00 AM,No,"ID,Income,Zip Code","Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,Closed Friday 12/27,Friday,13500 Baden Westwood Road Brandywine MD 20613,,
We Are Family : We Are Family,DC, Ward 1, We Are Family 3335 Sherman Ave NW Washington DC 20001,(202) 487-8698,3rd and 4th of the Month,10:00 AM,06:00 PM,No,,Home Delivery,Pre-bagged or boxed groceries,"Provide emergency food by request, All. Please call Mark Andersen at 202-487-8698 to get more information. Thanks!",Saturday,3335 Sherman Ave NW Washington DC 20001,38.9315816,-77.0263815
Friends Of Douglas Community Center : Friends Of Douglass Community Center,DC, Ward 8, Friends Of Douglas Community Center 3261 Stanton Road SE Washington DC 20020,(202) 285-5354,Every week,12:00 PM,06:00 PM,No,"ID,Income,Zip Code","Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Monday || Saturday || Thursday || Tuesday || Wednesday,3261 Stanton Road SE Washington DC 20020,38.8477205,-76.9807019
A Place For Hashem Ministries : A Place for Hashem Ministries,MD, Prince George's County,A Place for Hashem Ministries 8100 Malcolm Rd Clinton MD 20735,,1st of the Month,09:00 AM,12:00 PM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Saturday,8100 Malcolm Rd Clinton MD 20735,,
Church of The Redeemer of Gaithersburg : Church of The Redeemer of Gaithersburg,MD, Montgomery County, Church of The Redeemer 19425 Woodfield Road Gaithersburg MD 20879,(240) 238-1576,3rd of the Month,10:00 AM,12:00 PM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,While supplies last.,Saturday,19425 Woodfield Road Gaithersburg MD 20879,39.1509723,-77.174299
Faith United Ministries Outreach : Faith United Ministries Outreach,MD, Prince George's County, Faith United Ministries Outreach 7905 Fernham Lane District Heights MD 20747,(301) 736-2383,Every Other Week,08:00 AM,04:00 PM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Saturday,7905 Fernham Lane District Heights MD 20747,,
The Upcounty Hub Inc : The Upcounty Hub Inc,MD, Montgomery County, The Upcounty Hub Inc 12900 Middlebrook Road Suite 1100  Germantown  MD 20874,(240) 912-1068,Every Other Week,02:00 PM,03:00 PM,No,,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Friday || Monday || Thursday || Tuesday || Wednesday,12900 Middlebrook Road Suite 1100 Germantown MD 20874,,
College Park Church of the Nazarene : College Park Community Food Bank,MD, Prince George's County, College Park Community Food Bank 9704 Rhode Island Ave College Park MD 20740,(301) 364-4931,Every week,09:30 AM,11:00 AM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Saturday,9704 Rhode Island Ave College Park MD 20740,39.0120361,-76.9216421
Recovery Program Solutions of Virginia : Recovery Program Solutions of Virginia,VA, Fairfax County, Consumer Wellness Center  Recovery Program Solutions of Virginia 7611 Little River Turnpike Suite E100 Annandale VA 22003,(703) 939-0869,Every week,10:00 AM,04:00 PM,No,Zip Code,Walk up,"Pre-bagged or boxed groceries,Prepared meals",,Monday || Tuesday || Wednesday,7611 Little River Turnpike Suite E100 Annandale VA 22003,,
LINK Incorporated : LINK Mobile Food Pantry - Christ the Redeemer,VA, Fairfax County," LINK Mobile Food Pantry - Christ the Redeemer 46833 Harry Byrd Highway, Sterling VA 20164",(703) 973-4444,Every week,09:00 AM,05:00 PM,Yes,Zip Code,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,All,"46833 Harry Byrd Highway, Sterling VA 20164",39.0175285,-77.3797119
The Family Place : The Family Place,DC, Ward 1, The Family Place 3309 16th St NW Washington DC DC 20010,(202) 644-1125,All,10:00 AM,05:00 PM,No,Income,"Drive thru,Home Delivery",Pre-bagged or boxed groceries,"Our pantry is available to anyone in need, Monday through Friday from 10-5 pm, as long as we have food available we will provide you with a bag of food..",Friday || Monday || Thursday || Tuesday || Wednesday,3309 16th St NW Washington DC DC 20010,38.9319143,-77.036063
University of District of Columbia : University of District of Columbia,DC, Ward 3, University of District of Columbia 4250 Connecticut Ave NW Washington DC DC 20008,(202) 603-5090,Every week,11:00 AM,07:00 PM,No,ID,Walk up,Loose groceries,Student ID Required for Entry,Friday || Monday || Thursday || Tuesday || Wednesday,4250 Connecticut Ave NW Washington DC DC 20008,38.9444744,-77.064239
American University : American University,DC, Ward 3,Melanie Pagen  4400 Massachusetts Ave Washington  DC 20016,(305) 766-5993,Every week,12:00 PM,07:00 PM,No,ID,Walk up,Loose groceries,,Friday || Monday || Wednesday,4400 Massachusetts Ave Washington DC 20016,38.9387795,-77.0863656
"Crowder Owen's Calvary Food Bank : Crowder Owens Calvary Food Bank (The Bishop Alfred A. Owens, Jr. Family Life CC)",DC, Ward 5, Crowder Owen's Calvary Food Bank 600 W Street NE Washington DC 20002,(202) 529-2299,Every week,12:00 PM,02:00 PM,No,,Walk up,Loose groceries,,Thursday || Tuesday || Wednesday,600 W Street NE Washington DC 20002,38.9198306,-76.9981466
Rising Hope Mission Church : Rising Hope Methodist Mission Church,VA, Fairfax County, Rising Hope Mission UMC 8220 Russell Road Alexandria VA 22309,(719) 310-3277,Every week,01:30 PM,04:30 PM,Yes,Zip Code,Walk up,Loose groceries,,Thursday || Tuesday || Wednesday,8220 Russell Road Alexandria VA 22309,38.8078803,-77.0628123
St. Anthony of Padua Catholic Church : St. Anthony of Padua Catholic Church,VA, Fairfax County, St. Anthony of Padua Catholic Church 3305 Glen Carlyn Road Falls Church VA 22041,(571) 471-3194,Every week,10:00 AM,01:00 PM,No,Income,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Monday || Wednesday,3305 Glen Carlyn Road Falls Church VA 22041,,
Womens Collective : The Women's Collective,DC, Ward 5, The Womens Collective 1818 New York Ave NE Washington DC 20020,(202) 483-7003,Every week,09:00 AM,05:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Friday || Monday || Thursday || Tuesday || Wednesday,1818 New York Ave NE Washington DC 20020,38.9176751,-76.9767498
Centreville United Methodist Church : Centreville UMC,VA, Fairfax County, Centreville UMC 6400 Old Centreville Rd Centreville VA 20121,(703) 830-2684,4th of the Month,05:30 PM,06:30 PM,No,,Home Delivery,,,Saturday || Thursday,6400 Old Centreville Rd Centreville VA 20121,38.8256818,-77.4397774
First Baptist Church of District Heights : First Baptist Church of District Heights,MD, Prince George's County, First Baptist Church of District Heights 7234 Lansdale Street District Heights MD 20747,(301) 887-7380,3rd of the Month,09:00 AM,12:00 PM,No,,"Drive thru,Walk up",,,Saturday || Thursday || Tuesday,7234 Lansdale Street District Heights MD 20747,38.859012,-76.8808998
No Limits Outreach Ministries : No Limits Outreach Ministries,MD, Prince George's County, No Limits Outreach Ministries 7721 Barlowe Rd Landover MD 20785,(202) 341-5159,Every week,12:30 PM,01:30 PM,Yes,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",Email Nolimitsfoodpantry@gmail.com for appointment,Friday || Sunday || Thursday || Tuesday,7721 Barlowe Rd Landover MD 20785,38.9181707,-76.8735707
"Ark of Grace Mission, Inc : Ark of Grace Mission, Inc",MD, Prince George's County,"Ark of Grace Mission, Inc 3311 Brightseat Road  Lanham MD 20706",(240) 535-7832,Every Other Week,12:00 PM,04:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Friday,3311 Brightseat Road Lanham MD 20706,,
"Faith Village of Greater Laurel, Inc. : Faith Village of Greater Laurel, Inc.",MD, Prince George's County," Faith Village of Greater Laurel, Inc. 13714 Briarwood Drive  Laurel MD 20708",,2nd of the Month,10:00 AM,12:00 PM,No,Zip Code,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Saturday,13714 Briarwood Drive Laurel MD 20708,39.0799744,-76.856083
Corinth Baptist Church Outreach Pro : Corinth Baptist Church Outreach Program,MD, Prince George's County, Corinth Baptist Church Outreach Program 814 Cypress Tree Dr Capitol Heights MD 20743,(202) 486-3963,Every week,10:00 AM,12:00 PM,No,Zip Code,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,"All PG Residents Requesting Food, can call on other days besides Sat for food",Saturday,814 Cypress Tree Dr Capitol Heights MD 20743,,
Woodbridge Workers : Woodbridge Workers,VA, Prince William County, Woodbridge Workers 13950 Jefferson Davis Highway Woodbridge VA 22193,(703) 969-0197,3rd of the Month,09:30 AM,10:30 AM,No,,Walk up,,,Friday || Saturday || Thursday || Wednesday,13950 Jefferson Davis Highway Woodbridge VA 22193,,
Iglesia De Dios Pentecostal Nuevo Renacer : Iglesia De Dios Pentecostal Nuevo Renacer,MD, Prince George's County,Jose Morales 490 Victoria Court Millersville MD 21108,,Every week,10:30 AM,Until Food Runs Out,No,,Walk up,Loose groceries,,Wednesday,490 Victoria Court Millersville MD 21108,,
Calvary Pentecostal Ministries : Calvary Pentecostal Ministries,MD, Montgomery County, Calvary Pentecostal Ministries 7910 Cessna Avenue Gaithersburg MD 20879,(301) 775-0404,3rd of the Month,07:00 PM,08:30 PM,No,,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Tuesday,7910 Cessna Avenue Gaithersburg MD 20879,,
Yad Yehuda of Greater Washington : Yad Yehuda of Greater Washington,MD, Montgomery County, Yad Yehuda of Greater Washington 9601 Colesville Rd Silver Spring MD 20902,(301) 842-7135,Every week,07:00 AM,10:00 PM,Yes,,Walk up,Loose groceries,,Friday || Monday || Sunday || Thursday || Tuesday || Wednesday,9601 Colesville Rd Silver Spring MD 20902,39.0119275,-77.0172692
Silver Spring Christian Reformed Church : Silver Spring Christian Reformed Church,MD, Montgomery County, Silver Spring Christian Reformed Church 1501 Arcola Ave Silver Spring MD 20902,(301) 284-8401,1st of the Month,03:00 PM,05:00 PM,No,,Walk up,,,Tuesday,1501 Arcola Ave Silver Spring MD 20902,39.0471345,-77.0497672
Messiah United Methodist Church : Messiah United Methodist Church,VA, Fairfax County, Messiah United Methodist Church 6215 Rolling Road  Springfield   VA 22152,(703) 927-7913,4th of the Month,06:00 PM,07:00 PM,No,,"Drive thru,Walk up",,Produce,Wednesday,6215 Rolling Road Springfield VA 22152,38.7826545,-77.2340029
Kitchen of Purpose : Kitchen of Purpose,VA, Arlington County, Kitchen of Purpose 918 S. Lincoln St Suite 2 Arlington VA 22204,(703) 574-1058,Every week,03:00 PM,05:30 PM,No,,Other,Prepared meals,,Thursday,918 S. Lincoln St Suite 2 Arlington VA 22204,,
Nourish Now : Nourish Now,MD, Montgomery County, Nourish Now 397 EAST GUDE DR Rockville MD 20850,(240) 750-0747,1st of the Month,01:00 PM,03:00 PM,No,ID,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,Friday || Monday || Thursday || Tuesday || Wednesday,397 EAST GUDE DR Rockville MD 20850,39.1063748,-77.1516702
Calvary Christian Church : Calvary Christian Church,VA, Fairfax County, Calvary Christian Church 9800 Old Keene Mill Road  Burke  VA 22015,(571) 212-3922,Every week,08:00 AM,09:30 AM,No,,Walk up,,CLOSURE Policy:  Closed when Fairfax  County Public Schools closed or delayed opening,Thursday,9800 Old Keene Mill Road Burke VA 22015,38.7743653,-77.2835505
Muslim Community Center : Muslim Community Center,MD, Montgomery County, Muslim Community Center 15200 New Hampshire Ave. Silver Spring MD 20905,(240) 784-0051,2nd and 4th of the Month,09:00 AM,11:00 AM,No,Zip Code,Drive thru,Pre-bagged or boxed groceries,provisions are available for emergency cases. some family may need assistance during the week,Saturday,15200 New Hampshire Ave. Silver Spring MD 20905,39.076572,-77.0018621
Helping Hungry Kids of NOVA : Helping Hungry Kids of NOVA,VA, Fairfax County, Northern Virginia Hebrew Congregation 1441 Wiehle Ave Reston VA 20190,(703) 477-0367,Every week,10:00 AM,11:30 AM,Yes,,Walk up,,We only distribute food to specific schools who distribute food bags to their sutdents,All,1441 Wiehle Ave Reston VA 20190,38.9521216,-77.3350424
Grace of God Ministry : Grace of God Ministry,MD, Prince George's County, Grace of God Ministry 3950 48th Street Bladensburg MD 20710,(240) 274-2829,4th of the Month,03:00 PM,06:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Thursday,3950 48th Street Bladensburg MD 20710,38.9381377,-76.9361697
Fountain of Restoration Church Inc : Fountain of Restoration Church,MD, Prince George's County, Fountain of Restoration 12304 Livingston Rd Fort Washington MD 20744,(202) 213-4628,Every Other Week,12:00 PM,04:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",We recdntly moved to a new location in Fort Washington. Our hours of operation may need adjustment once we are fully settled.,Saturday,12304 Livingston Rd Fort Washington MD 20744,38.720596,-76.9852035
Little Rock Bibleway Church : Gallaudet University Food Pantry,DC, Ward 5, Gallaudet University Food Pantry 800 Florida Ave. NE Room Ely 100 Washington DC 20002,(202) 651-5144,All,09:00 AM,05:00 PM,No,"ID,Zip Code",Walk up,"Pre-bagged or boxed groceries,Prepared meals",,Friday || Monday || Thursday || Tuesday || Wednesday,800 Florida Ave. NE Room Ely 100 Washington DC 20002,,
"Laurel Advocacy & Referral Services, Inc. : Laurel Advocacy & Referral Services, Inc.",MD, Prince George's County," Laurel Advocacy & Referral Services, Inc. 311 Laurel Ave Laurel MD 20707",(301) 776-0442,Every week,09:00 AM,02:00 PM,No,Zip Code,Walk up,Loose groceries,"Must reside in the following zip codes (20707, 20708, 20723, 20724). Be sure to bring the following documents: Valid photo ID for all adult household members (+18), birth certificate or passport for all children (0-17) and proof of Laurel address.",Friday || Monday || Thursday || Tuesday || Wednesday,311 Laurel Ave Laurel MD 20707,39.1016589,-76.8477752
Community Outreach and Development CDC : Community Outreach and Development Center CDC,MD, Prince George's County, Community Outreach and Development Center CDC 4719 Marlboro Pike Capitol Heights MD 20743,(301) 735-0121,Every week,09:00 AM,05:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Friday || Monday || Thursday || Tuesday || Wednesday,4719 Marlboro Pike Capitol Heights MD 20743,38.873735,-76.9333422
Haymarket Regional Food Pantry : Haymarket Regional Food Pantry,VA, Prince William County, Haymarket Regional Food Pantry 7669 Limestone Drive Gainesville VA 20155,(703) 795-4892,Every week,05:00 PM,08:30 PM,Yes,"ID,Zip Code",Walk up,Loose groceries,,Monday || Saturday || Thursday || Tuesday || Wednesday,7669 Limestone Drive Gainesville VA 20155,,
Educare Support Services : Educare Support Services,MD, Montgomery County, Educare Support Services 7001 New Hampshire Ave Takoma Park MD 20912,(240) 450-2092,Every week,All,All,Yes,"ID,Income",Home Delivery,Pre-bagged or boxed groceries,,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,7001 New Hampshire Ave Takoma Park MD 20912,38.976952,-76.992273
House of Mercy : House of Mercy,VA, Prince William County, House of Mercy 8170 Flannery Court Manassas VA 20109,(703) 579-0279,Every week,10:00 AM,04:00 PM,No,ID,Walk up,,Walk-ins are only for already Registered Clients. People interested in becoming a client with us must schedule an appointment with us on our website. UPDATE: We are temporarily NOT accepting New Clients at this time.,Friday || Monday || Thursday || Tuesday || Wednesday,8170 Flannery Court Manassas VA 20109,38.78146,-77.5578098
Maryland Umbrella Group : Maryland Umbrella Group,MD, Prince George's County, Maryland Umbrella Group 408 Addison Road South Seat Pleasant MD 20743,(301) 219-6650,All,10:00 AM,12:00 PM,Yes,"ID,Income,Zip Code","Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Monday || Saturday || Thursday || Tuesday || Wednesday,408 Addison Road South Seat Pleasant MD 20743,38.8858579,-76.8978438
St. Mark The Evangelist Catholic Church : St. Mark The Evangelist Catholic Church,MD, Prince George's County, St. Mark The Evangelist Catholic Church 7501 Adelphi Road Hyattsville MD 20783,(301) 852-3816,Every week,09:30 AM,12:00 PM,No,ID,Walk up,Loose groceries,Please bring your own reuseable bags to grocery shop.,Tuesday,7501 Adelphi Road Hyattsville MD 20783,38.9830982,-76.95405
Community of Faith United Methodist Church : Community of Faith United Methodist Church,VA, Fairfax County, Community of Faith United Methodist Church 13224 Franklin Farm Rd Herndon VA 20171,(703) 620-1977,Every week,04:00 PM,06:00 PM,No,ID,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Tuesday,13224 Franklin Farm Rd Herndon VA 20171,38.9088706,-77.4077067
ICNA Relief USA Programs Inc. : ICNA Relief USA Programs Inc.,VA, Fairfax County, ICNA RELIEF USA PROGRAM INC 2912 WOODLAWN TRAIL ALEXANDRIA VA 22306,(571) 662-0786,4th of the Month,12:30 PM,01:30 PM,No,,"Drive thru,Home Delivery",,location: DAR ALSALAM 14505 Richmond Hwy Woodbridge VA 22191,Thursday,2912 WOODLAWN TRAIL ALEXANDRIA VA 22306,,
Freedom Community Church : Freedom Community Church,VA, Prince William County, Freedom Community Church 9325 Mace Street Manassas Park VA 20111,(571) 409-4892,Every Other Week,04:00 PM,06:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Monday,9325 Mace Street Manassas Park VA 20111,38.7815844,-77.4786797
Ebenezer Baptist Church : Ebenezer Baptist Church,VA, Prince William County, Ebenezer Baptist Church 13020 Telegraph Road Woodbridge VA 22192,(703) 376-1664,Every week,10:30 AM,12:30 PM,Yes,,"Drive thru,Walk up",Pre-bagged or boxed groceries,,Friday || Sunday || Thursday || Tuesday,13020 Telegraph Road Woodbridge VA 22192,38.6614392,-77.284709
Salvation Army (Fairfax) : Salvation Army (Fairfax),VA, Fairfax County, Salvation Army (Fairfax) 4915 Ox Road Fairfax VA 22030,(703) 385-8700,Every week,09:00 AM,04:00 PM,No,"ID,Income",Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Monday || Tuesday || Wednesday,4915 Ox Road Fairfax VA 22030,38.8252892,-77.3170192
Living Legends Awards for Service to Humanity : Living Legends Awards for Service to Humanity,MD, Montgomery County, Living Legends Awards for Service to Humanity 18800 New Hampshire Avenue Ashton MD 20861,(240) 832-1039,Every Other Week,07:00 AM,03:00 PM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Sunday,18800 New Hampshire Avenue Ashton MD 20861,39.16457,-77.015446
Ebenezer We Care We Share Community : Ebenezer We Care We Share Community,MD, Prince George's County, Ebenezer We Care We Share Community 6016 Princess Garden Parkway New Carrollton MD 20784,(301) 577-7436,1st and 3rd of the Month,10:00 AM,01:00 PM,Yes,,"Drive thru,Home Delivery,Walk up",Loose groceries,,Saturday,6016 Princess Garden Parkway New Carrollton MD 20784,,
Shiloh Church Of God 7 Day : Shiloh Church Of God 7 Day,MD, Prince George's County, Shiloh Church Of God 7 Day 5701 Eastern Ave Hyattsville MD 20781,(443) 531-1955,Every week,04:00 PM,06:00 PM,No,,"Drive thru,Home Delivery,Walk up",,,Saturday || Thursday,7 Day 5701 Eastern Ave Hyattsville MD 20781,,
Metropolis Club : Metropolis Club,DC, Ward 5, Metropolis Club 938 Rhode Island Ave NE Washington DC 20018,(301) 793-4236,Every week,07:00 AM,08:00 PM,No,,Walk up,Loose groceries,no requirement,Friday || Monday || Saturday || Sunday || Thursday || Tuesday || Wednesday,938 Rhode Island Ave NE Washington DC 20018,38.9226403,-76.9926335
"Builders, Inc : Builders, Inc",MD, Prince George's County," Builders, Inc 5135 Marlboro Pike Capitol Heights MD 20743",(202) 460-8011,2nd and 4th of the Month,04:00 AM,06:00 AM,No,"ID,Income,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",Distribution starts at 4 AM,Saturday,5135 Marlboro Pike Capitol Heights MD 20743,38.8723004,-76.9256476
Plenty to Eat : Plenty to Eat,DC, Ward 5, Plenty to Eat 2315 18th Place NE Washington DC 20018,(202) 556-0662,Every week,11:00 AM,03:00 PM,No,"ID,Zip Code",Walk up,"Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,Tuesday || Wednesday,2315 18th Place NE Washington DC 20018,38.9207541,-76.977739
First African Methodist Episcopal Church of Alexandria : First African Methodist Episcopal Church of Alexandria,VA, Fairfax County, First African Methodist Episcopal Church of Alexandria 8653 Richmond Highway Alexandria VA 22309,(571) 758-9141,2nd of the Month,08:30 AM,01:30 PM,No,,"Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Wednesday,8653 Richmond Highway Alexandria VA 22309,38.7926156,-77.056737
St. Francis Xavier Food Pantry : St. Francis Xavier Church Food Pantry,DC, Ward 7, St. Francis Xavier 2815 O street SE Washington DC 20020,(202) 251-7692,2nd of the Month,09:00 AM,11:30 AM,No,ID,Walk up,Pre-bagged or boxed groceries,,Saturday,2815 O street SE Washington DC 20020,38.872518,-76.9672684
Holy Mountain International Ministries : Holy Mountain International Ministries,MD, Prince George's County, DR. BAMIDELE BELLO Holy Mountain International Ministries 6721 Mid Cities Avenue Beltsville MD 20705,(443) 367-1951,Every week,10:00 AM,Until Food Runs Out,No,Zip Code,Walk up,"Loose groceries,Pre-bagged or boxed groceries,Prepared meals",Can call to make an appointment any day,Friday,6721 Mid Cities Avenue Beltsville MD 20705,39.0537607,-76.8886136
Operation Ernie's Plate : Operation Earnie's Plate,MD, Prince George's County, Operation Earnie's Plate 8500 Mike Shapiro Dr Clinton MD 20735,(301) 404-4461,Every week,10:00 AM,02:00 PM,No,Zip Code,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,All || Monday || Saturday || Wednesday,8500 Mike Shapiro Dr Clinton MD 20735,,
First African Methodist Episcopal Church of Gaithersburg : First African Methodist Episcopal Church of Gaithersburg,MD, Montgomery County, First African Methodist Episcopal Church of Gaithersburg 17620 Washington Grove Lane Gaithersburg MD 20877,(240) 632-9760,1st of the Month,02:00 PM,04:00 PM,No,Zip Code,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Saturday,17620 Washington Grove Lane Gaithersburg MD 20877,39.1392645,-77.1799566
Ebenezer AME Church : Ebenezer AME Church,MD, Prince George's County, Ebenezer AME Church 7703 Allentown Road Fort Washington MD 20744,,All,10:00 AM,02:00 PM,No,,Walk up,,,Saturday || Thursday || Tuesday || Wednesday,7703 Allentown Road Fort Washington MD 20744,,
Harvest Gleaners : Harvest Gleaners,MD, Montgomery County, Harvest Gleaners 3210 Norbeck Road Silver Spring MD 20906,(301) 503-7397,1st and 3rd of the Month,12:30 PM,Until Food Runs Out,No,ID,Walk up,,,Thursday || Wednesday,3210 Norbeck Road Silver Spring MD 20906,,
Community Health Foundation : Community Health Foundation,MD, Prince George's County, Community Health Foundation 9150 Lanham Severn Rd.  Lanham MD 20706,(240) 353-1699,Every Other Week,10:00 AM,03:00 PM,No,"ID,Income,Zip Code","Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Saturday,9150 Lanham Severn Rd. Lanham MD 20706,38.9675633,-76.8563501
The Sanctuary : The Sanctuary,MD, Prince George's County, The Sanctuary 5300 Crain Highway Upper Marlboro MD 20772,(301) 752-0778,4th of the Month,10:00 AM,12:30 PM,No,ID,"Drive thru,Home Delivery","Loose groceries,Pre-bagged or boxed groceries",Call ahead! The X Saturday of the month differs,Saturday,5300 Crain Highway Upper Marlboro MD 20772,38.8130057,-76.7584438
South Lakes High School PTSA Food Pantry : South Lakes High School PTSA Food Pantry : South Lakes High School PTSA Food Pantry,VA, Fairfax County, Good Shepherd Lutheran Church 1133 Reston AVE Herndon VA 20170,(703) 216-6928,Every week,04:30 PM,05:30 PM,No,Zip Code,"Drive thru,Home Delivery,Walk up","Loose groceries,Pre-bagged or boxed groceries",Must be family of student enrolled in South Lakes Pyramid schools.,Thursday,1133 Reston AVE Herndon VA 20170,,
Lifehouse Church : Lifehouse Church,MD, Prince George's County, Lifehouse Church 12304 Baltimore Avenue Beltsville MD 20705,(301) 787-4070,2nd of the Month,12:00 PM,04:00 PM,No,,Walk up,,,Monday,12304 Baltimore Avenue Beltsville MD 20705,39.0540356,-76.8936149
