Name,Agency Region,County/Ward,Address,Phone,Day of Week,Monthly Options,Starting Time,Ending Time,By Appointment Only,Food Pantry Requirements,Distribution Models,Food Format ,Additional Note on Hours of Operations,Original_Address,Processed_For_Geocoding,Latitude,Longitude
Mollemm Food Pantry : Mollemm Food Pantry,MD,MD Prince George's County,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,(301) 248-7742,Saturday,3rd of the Month,11:00 AM,11:30 AM,Yes,Zip Code,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries",This site is for drop off only for senior residents,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,9721 Good Luck Road Lanham MD 20706,38.9831296,-76.8411957
Mollemm Food Pantry : Mollemm Food Pantry,MD,MD Prince George's County,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,(301) 248-7742,Sunday,3rd of the Month,12:00 PM,02:00 PM,Yes,Zip Code,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries",This site is for drop off only for senior residents,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,9721 Good Luck Road Lanham MD 20706,38.9831296,-76.8411957
Mollemm Food Pantry : Mollemm Food Pantry,MD,MD Prince George's County,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,(301) 248-7742,Thursday,2nd of the Month,01:00 PM,02:30 PM,Yes,Zip Code,Home Delivery,Pre-bagged or boxed groceries,This site is for drop off only for senior residents,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,9721 Good Luck Road Lanham MD 20706,38.9831296,-76.8411957
Mollemm Food Pantry : Mollemm Food Pantry,MD,MD Prince George's County,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,(301) 248-7742,Tuesday,4th of the Month,10:00 AM,01:00 PM,No,Zip Code,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries",This site is for pick up only by residents,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,9721 Good Luck Road Lanham MD 20706,38.9831296,-76.8411957
Mollemm Food Pantry : Mollemm Food Pantry,MD,MD Prince George's County,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,(301) 248-7742,Wednesday,3rd of the Month,01:00 PM,02:30 PM,Yes,Zip Code,Home Delivery,,This site is for drop off only for senior residents,Attn: Mollemm Food Pantry 9721 Good Luck Road Lanham MD 20706,9721 Good Luck Road Lanham MD 20706,38.9831296,-76.8411957
Gaithersburg CARES Hub at Seneca Creek Community Church : Seneca Creek Community Church (Gaithersburg CARES),MD,MD Montgomery County,Attn: Seneca Community Church 13 Firstfield Rd Gaithersburg MD 20878,(301) 793-3321,Tuesday,Every week,10:00 AM,04:30 PM,Yes,,Walk up,Other,,Attn: Seneca Community Church 13 Firstfield Rd Gaithersburg MD 20878,13 Firstfield Rd Gaithersburg MD 20878,39.140033,-77.225364
Gaithersburg CARES Hub at Seneca Creek Community Church : Seneca Creek Community Church (Gaithersburg CARES),MD,MD Montgomery County,Attn: Seneca Community Church 13 Firstfield Rd Gaithersburg MD 20878,(301) 793-3321,Thursday,Every week,10:00 AM,04:30 PM,Yes,,Walk up,,,Attn: Seneca Community Church 13 Firstfield Rd Gaithersburg MD 20878,13 Firstfield Rd Gaithersburg MD 20878,39.140033,-77.225364
Gaithersburg CARES Hub at Seneca Creek Community Church : Seneca Creek Community Church (Gaithersburg CARES),MD,MD Montgomery County,Attn: Seneca Community Church 13 Firstfield Rd Gaithersburg MD 20878,(301) 793-3321,Friday,Every week,01:00 PM,04:00 PM,Yes,,Walk up,,,Attn: Seneca Community Church 13 Firstfield Rd Gaithersburg MD 20878,13 Firstfield Rd Gaithersburg MD 20878,39.140033,-77.225364
Gaithersburg CARES Hub at Seneca Creek Community Church : Seneca Creek Community Church (Gaithersburg CARES),MD,MD Montgomery County,Attn: Seneca Community Church 13 Firstfield Rd Gaithersburg MD 20878,(301) 793-3321,Saturday,1st of the Month,09:30 AM,12:30 PM,Yes,,Walk up,,Our pantry is by appointment. Anyone needing an appointment should call 301-793-3321 and leave a message. We will call them to schedule an appointment.,Attn: Seneca Community Church 13 Firstfield Rd Gaithersburg MD 20878,13 Firstfield Rd Gaithersburg MD 20878,39.140033,-77.225364
Kingdom Global Community Development Corporation : East Montgomery County Hub,MD,MD Montgomery County,Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,(202) 352-7114,Thursday,4th of the Month,05:00 PM,07:30 PM,No,ID,,,"This food distribution takes place at the Enclaves Apartments located at 11225 Oak leaf Drive, Silver Spring MD 20901. Distribution takes place in large parking lot behind pool and adjacent to Leasing Office. .",Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,11710 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
Kingdom Global Community Development Corporation : East Montgomery County Hub,MD,MD Montgomery County,Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,(202) 352-7114,Wednesday,3rd of the Month,05:30 PM,07:00 PM,No,ID,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries","This food distribution takes place at Jackson Road Elementary School located at 900 Jackson Road, Silver Spring MD 20904. Distribution takes place in parking lot in front of school.",Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,11710 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
Kingdom Global Community Development Corporation : East Montgomery County Hub,MD,MD Montgomery County,Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,(202) 352-7114,Tuesday,2nd and 4th of the Month,05:00 PM,07:00 PM,No,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries","This food distribution takes place at Windsor Court and Towers Apartments located at 13900 Castle BLVD, Silver Spring MD 20904.",Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,11710 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
Kingdom Global Community Development Corporation : East Montgomery County Hub,MD,MD Montgomery County,Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,(202) 352-7114,Wednesday,4th of the Month,06:00 PM,08:00 PM,Yes,"ID,Zip Code",,,"Diaper Distribution takes place the last Wednesday of every month at the East County Rec Center located at 3310 Gateshead Manor Way, Silver Spring MD 20904. You must be a resident of Montgomery County and have proof of residency in zipcodes: 20904, 20903, 20905, 20866 and residents of the Enclave.",Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,11710 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
Kingdom Global Community Development Corporation : East Montgomery County Hub,MD,MD Montgomery County,Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,(202) 352-7114,Tuesday,1st and 3rd of the Month,05:00 PM,07:30 PM,No,ID,,,"This food distribution takes place at White Oak Gardens Apartments located at 11600 Lockwood Drive, Silver Spring MD 20904. Distribution takes place in front of the leasing office.",Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,11710 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
Kingdom Global Community Development Corporation : East Montgomery County Hub,MD,MD Montgomery County,Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,(202) 352-7114,Thursday,1st and 3rd of the Month,05:00 PM,07:00 PM,No,ID,,,"This food distribution takes place at Galway Elementary School located at 12612 Galway Drive, Silver Spring MD 20904. Distribution takes place in parking lot in front of school.",Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,11710 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
Kingdom Global Community Development Corporation : East Montgomery County Hub,MD,MD Montgomery County,Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,(202) 352-7114,Friday,Every Other Week,01:00 PM,02:00 PM,No,ID,,,"This food distribution takes place at Spring Parc Apartments located at 17 Featherwood Court, Silver Spring MD 20904. Distribution takes place near the pool and leasing office.",Attn: Kingdom Fellowship AME Church 11710 Beltsville Drive Beltsville MD 20705,11710 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
Rainbow Community Development Center : Rainbow Community Development Center,MD,MD Montgomery County,Attn: Rainbow Community Development Center 2120 Industrial Parkway A Silver Spring MD 20904,(301) 625-2561,Thursday,Every week,09:00 AM,12:00 PM,Yes,"ID,Income,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries","Tuesday and Thursday are by appointment only in zip codes 20901, 20903, 20904, 20905, 20906, 20866, 20868.  Saturdays are open to all MoCo zip codes..  First time clients call 301-625-2561",Attn: Rainbow Community Development Center 2120 Industrial Parkway A Silver Spring MD 20904,2120 Industrial Parkway A Silver Spring MD 20904,,
Rainbow Community Development Center : Rainbow Community Development Center,MD,MD Montgomery County,Attn: Rainbow Community Development Center 2120 Industrial Parkway A Silver Spring MD 20904,(301) 625-2561,Saturday,4th of the Month,09:00 AM,11:00 AM,No,"ID,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",Montgomery County residents only,Attn: Rainbow Community Development Center 2120 Industrial Parkway A Silver Spring MD 20904,2120 Industrial Parkway A Silver Spring MD 20904,,
Rainbow Community Development Center : Rainbow Community Development Center,MD,MD Montgomery County,Attn: Rainbow Community Development Center 2120 Industrial Parkway A Silver Spring MD 20904,(301) 625-2561,Saturday,2nd of the Month,09:00 AM,11:00 AM,No,"ID,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: Rainbow Community Development Center 2120 Industrial Parkway A Silver Spring MD 20904,2120 Industrial Parkway A Silver Spring MD 20904,,
Rainbow Community Development Center : Rainbow Community Development Center,MD,MD Montgomery County,Attn: Rainbow Community Development Center 2120 Industrial Parkway A Silver Spring MD 20904,(301) 625-2561,Thursday,Every Other Week,09:00 AM,12:00 PM,Yes,"ID,Income,Zip Code","Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries","On Tuesday and Thursday, we serve clients in zip codes 20901, 20903, 20904, 20905, 20906, 20866, 20868",Attn: Rainbow Community Development Center 2120 Industrial Parkway A Silver Spring MD 20904,2120 Industrial Parkway A Silver Spring MD 20904,,
Edward C Mazique Child Care Center : Edward C Mazique Child Care Center,DC,DC Ward 2,Attn: Edward C Mazique Child Care Center 1719 13th St NW Washington DC 20009,(202) 462-3375,Wednesday,Every week,12:00 PM,04:00 PM,No,,Walk up,Loose groceries,,Attn: Edward C Mazique Child Care Center 1719 13th St NW Washington DC 20009,1719 13th St NW Washington DC 20009,38.9132721,-77.0292766
Saint Benedict The Moor : Saint Benedict The Moor,DC,DC Ward 7,Attn: Saint Benedict The Moor 320 21st Street NE Washington DC 20002,,Monday,3rd of the Month,09:30 AM,12:00 PM,No,"ID,Income",Walk up,Pre-bagged or boxed groceries,,Attn: Saint Benedict The Moor 320 21st Street NE Washington DC 20002,320 21st Street NE Washington DC 20002,38.8942259,-76.9754575
Greater New Hope Baptist Church : Greater New Hope Baptist Church,DC,DC Ward 2,Attn: Greater New Hope Baptist Church 816 8th STREET NW Washington DC 20001,(301) 357-4905,Tuesday,2nd of the Month,11:00 AM,01:00 PM,No,,Walk up,"Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,Attn: Greater New Hope Baptist Church 816 8th STREET NW Washington DC 20001,816 8th STREET NW Washington DC 20001,38.9000706,-77.0230481
Dupont Park SDA Church : Dupont Park SDA Church,DC,DC Ward 7,Attn: Dupont Park SDA Church 3942 Alabama Ave SE Washington DC 20019,(301) 980-6274,Tuesday,"1st, 2nd, and 4th of the Month",10:00 AM,12:00 PM,No,,"Drive thru,Walk up","Loose groceries,Pre-bagged or boxed groceries",,Attn: Dupont Park SDA Church 3942 Alabama Ave SE Washington DC 20019,3942 Alabama Ave SE Washington DC 20019,38.8696457,-76.9480239
Hughes United Methodist Church : Hughes United Methodist Church,MD,MD Montgomery County,Attn: Hughes United Methodist Church 10700 Georgia Ave Wheaton  MD 20902,(301) 949-8383,Tuesday,Every week,09:30 AM,12:00 PM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,Montgomery County Residents,Attn: Hughes United Methodist Church 10700 Georgia Ave Wheaton  MD 20902,10700 Georgia Ave Wheaton MD 20902,39.0307141,-77.0483782
Hughes United Methodist Church : Hughes United Methodist Church,MD,MD Montgomery County,Attn: Hughes United Methodist Church 10700 Georgia Ave Wheaton  MD 20902,(301) 949-8383,Wednesday,Every week,09:30 AM,11:00 AM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,Montgomery County residents 60 years or older,Attn: Hughes United Methodist Church 10700 Georgia Ave Wheaton  MD 20902,10700 Georgia Ave Wheaton MD 20902,39.0307141,-77.0483782
InterFaith Works : InterFaith Works,MD,MD Montgomery County,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,(240) 370-4984,Thursday,Every week,09:00 AM,04:00 PM,Yes,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,751 Twinbrook Parkway Rockville MD 20851,39.0813947,-77.1140394
InterFaith Works : InterFaith Works,MD,MD Montgomery County,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,(240) 370-4984,Saturday,Every week,09:00 AM,12:00 PM,Yes,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,751 Twinbrook Parkway Rockville MD 20851,39.0813947,-77.1140394
InterFaith Works : InterFaith Works,MD,MD Montgomery County,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,(240) 370-4984,Wednesday,Every week,09:00 AM,04:00 PM,Yes,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,751 Twinbrook Parkway Rockville MD 20851,39.0813947,-77.1140394
InterFaith Works : InterFaith Works,MD,MD Montgomery County,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,(240) 370-4984,Friday,Every week,09:00 AM,04:00 PM,Yes,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,751 Twinbrook Parkway Rockville MD 20851,39.0813947,-77.1140394
InterFaith Works : InterFaith Works,MD,MD Montgomery County,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,(240) 370-4984,Tuesday,Every week,09:00 AM,04:00 PM,Yes,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,Attn: InterFaith Works 751 Twinbrook Parkway Rockville MD 20851,751 Twinbrook Parkway Rockville MD 20851,39.0813947,-77.1140394
NHT Communities : R Street Apartments,DC,DC Ward 2,Attn: NHT Communities - R St. Apartments 1436 R St NW Washington DC 20009,(202) 621-1617,Thursday,Every week,11:00 AM,04:00 PM,No,,"Home Delivery,Walk up",Loose groceries,,Attn: NHT Communities - R St. Apartments 1436 R St NW Washington DC 20009,1436 R St NW Washington DC 20009,38.9123712,-77.0340148
NHT Communities : Monsenor Romero,DC,DC Ward 1,Attn: NHT Communities - Monsenor Romero 3145 Mt Pleasant St NW Washington DC 20010,(202) 333-8931,Wednesday,Every week,11:00 AM,04:00 PM,No,,"Home Delivery,Walk up",Loose groceries,,Attn: NHT Communities - Monsenor Romero 3145 Mt Pleasant St NW Washington DC 20010,3145 Mt Pleasant St NW Washington DC 20010,38.9298594,-77.037567
Walker Memorial Baptist Church : Walker Memorial Baptist Church,DC,DC Ward 1,Attn: Walker Memorial Baptist Church 2020 13th St. NW Washington DC 20009,(202) 232-1120,Thursday,3rd of the Month,11:00 AM,01:00 PM,Yes,,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,Attn: Walker Memorial Baptist Church 2020 13th St. NW Washington DC 20009,2020 13th St. NW Washington DC 20009,38.9176047,-77.0299837
"Small Things Matter, Inc : Small Things Matter, Inc",MD,MD Montgomery County,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,(202) 669-8550,Tuesday,1st of the Month,04:00 PM,06:00 PM,Yes,"ID,Zip Code",Walk up,Loose groceries,during the school year only,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,201 Ethan Allen Avenue Takoma Park MD 20912,38.9776841,-77.0059115
"Small Things Matter, Inc : Small Things Matter, Inc",MD,MD Montgomery County,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,(202) 669-8550,Saturday,Every week,12:00 PM,03:00 PM,No,Zip Code,Walk up,Loose groceries,,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,201 Ethan Allen Avenue Takoma Park MD 20912,38.9776841,-77.0059115
"Small Things Matter, Inc : Small Things Matter, Inc",MD,MD Montgomery County,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,(202) 669-8550,Thursday,1st and 3rd of the Month,07:30 AM,12:00 PM,No,"ID,Zip Code",Walk up,Loose groceries,takes place at Takoma Park apartments,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,201 Ethan Allen Avenue Takoma Park MD 20912,38.9776841,-77.0059115
"Small Things Matter, Inc : Small Things Matter, Inc",MD,MD Montgomery County,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,(202) 669-8550,Friday,Every week,08:30 AM,12:00 PM,No,"ID,Zip Code",Walk up,Pre-bagged or boxed groceries,takes place at TPSS Coop and TP SDA Church,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,201 Ethan Allen Avenue Takoma Park MD 20912,38.9776841,-77.0059115
"Small Things Matter, Inc : Small Things Matter, Inc",MD,MD Montgomery County,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,(202) 669-8550,Thursday,1st and 3rd of the Month,12:00 PM,03:00 PM,No,Zip Code,Walk up,Loose groceries,takes place at Takoma Park apartments,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,201 Ethan Allen Avenue Takoma Park MD 20912,38.9776841,-77.0059115
"Small Things Matter, Inc : Small Things Matter, Inc",MD,MD Montgomery County,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,(202) 669-8550,Sunday,,01:00 PM,04:00 PM,No,"ID,Zip Code",Walk up,Loose groceries,,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,201 Ethan Allen Avenue Takoma Park MD 20912,38.9776841,-77.0059115
"Small Things Matter, Inc : Small Things Matter, Inc",MD,MD Montgomery County,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,(202) 669-8550,Friday,1st and 3rd of the Month,09:30 AM,11:30 AM,No,"ID,Zip Code",Walk up,Loose groceries,takes place at TP SDA Church,Attn: Takoma Park / Silver Spring Co-op 201 Ethan Allen Avenue Takoma Park MD 20912,201 Ethan Allen Avenue Takoma Park MD 20912,38.9776841,-77.0059115
"The House, Inc. : The House, Inc.",VA,VA Prince William County,"Attn: The House, Inc. 14000 Crown Court Woodbridge VA 22193",(571) 237-5860,Wednesday,Every week,03:00 PM,06:00 PM,Yes,,Home Delivery,"Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,"Attn: The House, Inc. 14000 Crown Court Woodbridge VA 22193",14000 Crown Court Woodbridge VA 22193,,
YWCA National Capital Area : YWCA National Capital Area,DC,DC Ward 1,Attn: YWCA National Capital Area 2303 14th Street NW Suite 100 Washington DC 20009,(202) 626-0700,Monday,Every week,12:00 PM,03:00 PM,No,,,,"To ensure fair access for everyone, each person can only come in once a week.",Attn: YWCA National Capital Area 2303 14th Street NW Suite 100 Washington DC 20009,2303 14th Street NW Suite 100 Washington DC 20009,,
YWCA National Capital Area : YWCA National Capital Area,DC,DC Ward 1,Attn: YWCA National Capital Area 2303 14th Street NW Suite 100 Washington DC 20009,(202) 626-0700,Thursday,Every week,12:00 PM,03:00 PM,No,,Walk up,Loose groceries,"To ensure fair access for everyone, each person can only come in once a week.",Attn: YWCA National Capital Area 2303 14th Street NW Suite 100 Washington DC 20009,2303 14th Street NW Suite 100 Washington DC 20009,,
YWCA National Capital Area : YWCA National Capital Area,DC,DC Ward 1,Attn: YWCA National Capital Area 2303 14th Street NW Suite 100 Washington DC 20009,(202) 626-0700,Wednesday,Every week,12:00 PM,03:00 PM,No,,,,"To ensure fair access for everyone, each person can only come in once a week.",Attn: YWCA National Capital Area 2303 14th Street NW Suite 100 Washington DC 20009,2303 14th Street NW Suite 100 Washington DC 20009,,
YWCA National Capital Area : YWCA National Capital Area,DC,DC Ward 1,Attn: YWCA National Capital Area 2303 14th Street NW Suite 100 Washington DC 20009,(202) 626-0700,Tuesday,Every week,12:00 PM,03:00 PM,No,,,,"To ensure fair access for everyone, each person can only come in once a week.",Attn: YWCA National Capital Area 2303 14th Street NW Suite 100 Washington DC 20009,2303 14th Street NW Suite 100 Washington DC 20009,,
Francis On The Hill : Francis On The Hill,DC,DC Ward 4,Attn: Francis on the Hill 1614 Manchester Lane NW Washington DC 20011-2810,(202) 680-0517,Tuesday,Every week,02:00 PM,03:00 PM,No,,"Home Delivery,Walk up",Pre-bagged or boxed groceries,Distribution is at Meridian Hill Park at 1:30.  It is a good idea to arrive early to get a number.,Attn: Francis on the Hill 1614 Manchester Lane NW Washington DC 20011-2810,1614 Manchester Lane NW Washington DC 20011-2810,38.9610627,-77.0374776
Covenant House Greater Washington : Covenant House Greater Washington,DC,DC Ward 8,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,(202) 247-0747,Monday,,09:00 AM,04:00 PM,No,,,,,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,2001 Mississippi Ave SE Washington DC 20020,38.8435958,-76.9742321
Covenant House Greater Washington : Covenant House Greater Washington,DC,DC Ward 8,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,(202) 247-0747,Thursday,,09:00 AM,04:00 PM,No,,,,,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,2001 Mississippi Ave SE Washington DC 20020,38.8435958,-76.9742321
Covenant House Greater Washington : Covenant House Greater Washington,DC,DC Ward 8,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,(202) 247-0747,Wednesday,,09:00 AM,04:00 PM,No,,,,,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,2001 Mississippi Ave SE Washington DC 20020,38.8435958,-76.9742321
Covenant House Greater Washington : Covenant House Greater Washington,DC,DC Ward 8,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,(202) 247-0747,Tuesday,,09:00 AM,04:00 PM,No,,,,,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,2001 Mississippi Ave SE Washington DC 20020,38.8435958,-76.9742321
Covenant House Greater Washington : Covenant House Greater Washington,DC,DC Ward 8,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,(202) 247-0747,Friday,,09:00 AM,02:00 PM,No,,,,,Attn: Covenant House Greater Washington 2001 Mississippi Ave SE Washington DC 20020,2001 Mississippi Ave SE Washington DC 20020,38.8435958,-76.9742321
Luther Jackson Middle School Food Pantry : Luther Jackson Middle School Food Pantry,VA,VA Fairfax County,Attn: Luther Jackson Middle School Food Pantry 3020 Gallows Road Falls Church VA 22042,(202) 669-2543,Wednesday,Every Other Week,04:00 PM,05:30 PM,No,ID,Walk up,Loose groceries,"The pantry is for students and their families only. We do NOT ask for IDs, but parents must tell us the name of their enrolled student, which is verified against our list.",Attn: Luther Jackson Middle School Food Pantry 3020 Gallows Road Falls Church VA 22042,3020 Gallows Road Falls Church VA 22042,,
Emmanuel Baptist Church : Emmanuel Baptist Church,DC,DC Ward 8,Attn: Emmanuel Baptist Church 2409 Ainger Place SE Washington DC 20020,(202) 678-0884,Thursday,1st and 3rd of the Month,04:00 PM,06:00 PM,No,,"Drive thru,Home Delivery,Walk up",Pre-bagged or boxed groceries,,Attn: Emmanuel Baptist Church 2409 Ainger Place SE Washington DC 20020,2409 Ainger Place SE Washington DC 20020,38.856557,-76.9718823
Buddhist Tzu Chi Foundation : Buddhist Tzu Chi Foundation,VA,VA Fairfax County,Attn: Buddhist Tzu Chi Foundation 1516 Moorings Drive Reston VA 20190,(804) 306-6037,Saturday,3rd of the Month,09:30 AM,11:00 AM,No,"ID,Income",Walk up,Loose groceries,,Attn: Buddhist Tzu Chi Foundation 1516 Moorings Drive Reston VA 20190,1516 Moorings Drive Reston VA 20190,,
LindaBen Foundation : LindaBen Foundation,MD,MD Prince George's County,Attn: LindaBen Foundation 10739 Tucker St.  Beltsville  MD 20705,(240) 461-9442,Wednesday,Every week,01:00 PM,03:00 PM,No,"ID,Zip Code",,,We provided Baby Essentials too,Attn: LindaBen Foundation 10739 Tucker St.  Beltsville  MD 20705,10739 Tucker St. Beltsville MD 20705,39.0261161,-76.9083386
LindaBen Foundation : LindaBen Foundation,MD,MD Prince George's County,Attn: LindaBen Foundation 10739 Tucker St.  Beltsville  MD 20705,(240) 461-9442,Tuesday,Every week,12:00 PM,03:00 PM,No,"ID,Income",Walk up,"Loose groceries,Pre-bagged or boxed groceries,Prepared meals",,Attn: LindaBen Foundation 10739 Tucker St.  Beltsville  MD 20705,10739 Tucker St. Beltsville MD 20705,39.0261161,-76.9083386
Tommy's Pantry : Tommy's Pantry,MD,MD Montgomery County,Attn: Tommy's Pantry 630 Silver Spring Ave. Silver Spring MD 20910,(202) 262-4537,Saturday,1st and 3rd of the Month,07:30 AM,10:00 AM,No,,,,,Attn: Tommy's Pantry 630 Silver Spring Ave. Silver Spring MD 20910,630 Silver Spring Ave. Silver Spring MD 20910,38.9919035,-77.0147421
Mid-County Hub at Harvest Intercontinental Church Olney : Mid-County Hub at Harvest Intercontinental Church Olney,MD,MD Montgomery County,Attn: Harvest Intercontinental Church 16227 Batchellors Forest Rd Olney MD 20832,(301) 512-5584,Friday,Every week,11:00 AM,06:00 PM,Yes,"ID,Zip Code",Walk up,Loose groceries,,Attn: Harvest Intercontinental Church 16227 Batchellors Forest Rd Olney MD 20832,16227 Batchellors Forest Rd Olney MD 20832,,
Destiny Driven : Destiny Driven,MD,MD Prince George's County,Attn: Destiny Driven 5900 Princess Garden Parkway Lanham  MD 20706,(301) 455-5970,Friday,Every week,11:00 AM,01:00 PM,Yes,"ID,Zip Code",Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Destiny Driven 5900 Princess Garden Parkway Lanham  MD 20706,5900 Princess Garden Parkway Lanham MD 20706,38.9658159,-76.8645706
Destiny Driven : Destiny Driven,MD,MD Prince George's County,Attn: Destiny Driven 5900 Princess Garden Parkway Lanham  MD 20706,(301) 455-5970,Saturday,Every week,12:00 PM,03:00 PM,Yes,ID,Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Destiny Driven 5900 Princess Garden Parkway Lanham  MD 20706,5900 Princess Garden Parkway Lanham MD 20706,38.9658159,-76.8645706
Destiny Driven : Destiny Driven,MD,MD Prince George's County,Attn: Destiny Driven 5900 Princess Garden Parkway Lanham  MD 20706,(301) 455-5970,Tuesday,Every week,10:00 AM,02:00 PM,Yes,"ID,Zip Code",Walk up,"Loose groceries,Pre-bagged or boxed groceries",,Attn: Destiny Driven 5900 Princess Garden Parkway Lanham  MD 20706,5900 Princess Garden Parkway Lanham MD 20706,38.9658159,-76.8645706
